Año,Trimestre,Provincia,Mbps (Media de bajada),Localidad
2018.0,4.0,Buenos Aires,1.693,Monte Chingolo
2018.0,4.0,Capital Federal,2.294,Remedios Escalada De San Martin
2018.0,4.0,Catamarca,804.0,Valentín Alsina
2018.0,4.0,Chaco,1.349,Laprida
2018.0,4.0,Chubut,609.0,Pueblo Nuevo
2018.0,4.0,Córdoba,1.581,Pueblo San Jorge
2018.0,4.0,Corrientes,1.214,Coronel Boerr
2018.0,4.0,Entre Ríos,1.102,El Trigo
2018.0,4.0,Formosa,982.0,Las Flores
2018.0,4.0,Jujuy,856.0,Pardo
2018.0,4.0,La Pampa,432.0,Alberdi Viejo
2018.0,4.0,La Rioja,709.0,El Dorado
2018.0,4.0,Mendoza,575.0,Fortín Acha
2018.0,4.0,Misiones,1.25,Juan Bautista Alberdi  (Est. Alberdi)
2018.0,4.0,Neuquén,1.589,Leandro N. Alem
2018.0,4.0,Río Negro,1.049,Vedia
2018.0,4.0,Salta,1.046,Arenaza
2018.0,4.0,San Juan,572.0,Bayauca
2018.0,4.0,San Luis,882.0,Carlos Salas
2018.0,4.0,Santa Cruz,512.0,Coronel Martínez de Hoz  (Ap. Kilómetro 322)
2018.0,4.0,Santa Fe,1.318,El Triunfo
2018.0,4.0,Santiago Del Estero,631.0,Las Toscas
2018.0,4.0,Tierra Del Fuego,744.0,Lincoln
2018.0,4.0,Tucumán,1.658,Pasteur
2018.0,3.0,Buenos Aires,1.678,Roberts
2018.0,3.0,Capital Federal,2.164,Arenas Verdes
2018.0,3.0,Catamarca,781.0,Licenciado Matienzo
2018.0,3.0,Chaco,1.289,Lobería
2018.0,3.0,Chubut,608.0,Pieres
2018.0,3.0,Córdoba,1.482,San Manuel
2018.0,3.0,Corrientes,1.149,Tamangueyú
2018.0,3.0,Entre Ríos,1.052,Antonio Carboni
2018.0,3.0,Formosa,932.0,Elvira
2018.0,3.0,Jujuy,767.0,Lobos
2018.0,3.0,La Pampa,428.0,Salvador María
2018.0,3.0,La Rioja,616.0,Banfield
2018.0,3.0,Mendoza,579.0,Llavallol
2018.0,3.0,Misiones,1.249,Lomas De Zamora
2018.0,3.0,Neuquén,1.467,Temperley
2018.0,3.0,Río Negro,1.006,Turdera
2018.0,3.0,Salta,927.0,Villa Centenario
2018.0,3.0,San Juan,574.0,Villa Fiorito
2018.0,3.0,San Luis,881.0,Barrio Las Casuarinas
2018.0,3.0,Santa Cruz,537.0,Carlos Keen
2018.0,3.0,Santa Fe,1.236,Cortines
2018.0,3.0,Santiago Del Estero,578.0,José María Jáuregui (Est. Jáuregui)
2018.0,3.0,Tierra Del Fuego,599.0,Lezica y Torrezuri
2018.0,3.0,Tucumán,1.526,Luján
2018.0,2.0,Buenos Aires,1.468,Olivera
2018.0,2.0,Capital Federal,1.894,Open Door  (Est. Dr. Domingo Cabred)
2018.0,2.0,Catamarca,769.0,OTROS
2018.0,2.0,Chaco,1.25,Torres
2018.0,2.0,Chubut,533.0,General Mansilla  (Est. Bartolomé Bavio)
2018.0,2.0,Córdoba,1.388,Magdalena
2018.0,2.0,Corrientes,1.088,Vieytes
2018.0,2.0,Entre Ríos,1.019,Las Armas
2018.0,2.0,Formosa,897.0,Maipú
2018.0,2.0,Jujuy,629.0,Santo Domingo
2018.0,2.0,La Pampa,410.0,Area De Promocion El Triángulo
2018.0,2.0,La Rioja,559.0,Grand Bourg
2018.0,2.0,Mendoza,588.0,Ingeniero Adolfo Sourdeaux
2018.0,2.0,Misiones,1.176,Ingeniero Pablo Nogués
2018.0,2.0,Neuquén,1.337,Los Polvorines
2018.0,2.0,Río Negro,951.0,Malvinas Argentinas
2018.0,2.0,Salta,893.0,Tortuguitas
2018.0,2.0,San Juan,585.0,Villa De Mayo
2018.0,2.0,San Luis,590.0,Coronel Vidal
2018.0,2.0,Santa Cruz,519.0,General Pirán
2018.0,2.0,Santa Fe,1.175,La Armonía
2018.0,2.0,Santiago Del Estero,591.0,La Caleta
2018.0,2.0,Tierra Del Fuego,594.0,Mar de Cobo
2018.0,2.0,Tucumán,1.351,Santa Clara del Mar
2018.0,1.0,Buenos Aires,1.42,Vivoratá
2018.0,1.0,Capital Federal,1.775,Marcos Paz
2018.0,1.0,Catamarca,820.0,Gowland
2018.0,1.0,Chaco,1.244,Jorge Born
2018.0,1.0,Chubut,542.0,Mercedes
2018.0,1.0,Córdoba,1.279,Libertad
2018.0,1.0,Corrientes,1.112,Mariano Acosta
2018.0,1.0,Entre Ríos,988.0,Merlo
2018.0,1.0,Formosa,1.106,OTROS
2018.0,1.0,Jujuy,674.0,Pontevedra
2018.0,1.0,La Pampa,400.0,San Antonio De Padua
2018.0,1.0,La Rioja,589.0,Abbott
2018.0,1.0,Mendoza,588.0,San Miguel del Monte  (Est. Monte)
2018.0,1.0,Misiones,1.208,Balneario Sauce Grande
2018.0,1.0,Neuquén,1.196,Monte Hermoso
2018.0,1.0,Río Negro,898.0,Cuartel V
2018.0,1.0,Salta,919.0,Francisco Alvarez
2018.0,1.0,San Juan,585.0,La Reja
2018.0,1.0,San Luis,589.0,Moreno
2018.0,1.0,Santa Cruz,519.0,Paso Del Rey
2018.0,1.0,Santa Fe,1.117,Trujui
2018.0,1.0,Santiago Del Estero,625.0,Castelar
2018.0,1.0,Tierra Del Fuego,577.0,El Palomar
2018.0,1.0,Tucumán,936.0,Haedo
2017.0,4.0,Buenos Aires,1.297,Moron
2017.0,4.0,Capital Federal,1.52,Villa Sarmiento
2017.0,4.0,Catamarca,778.0,José Juan Almeyra
2017.0,4.0,Chaco,1.17,Las Marianas
2017.0,4.0,Chubut,541.0,Navarro
2017.0,4.0,Córdoba,1.164,Villa Moll  (Est. Moll)
2017.0,4.0,Corrientes,1.038,Claraz
2017.0,4.0,Entre Ríos,930.0,Costa Bonita
2017.0,4.0,Formosa,1.011,Energía
